,common_entity,entity1,entity2,entity3,rag_text
1015,pd world tour (feat. puff daddy),black rob,2017,hip hop/reggae,"The discography of American rapper Sean Combs (known professionally under the pseudonyms Puffy, Puff Daddy, P. Diddy or Diddy) consists of five studio albums, two collaborative albums, one remix album and seventy-two singles – including thirty-three as a lead artist and thirty-nine as a featured artist. 
Combs began his career in the music industry working as an intern at the New York-based record label Uptown Records. He served as executive producer for Mary J. Blige's debut albums What's the 411? (1992) and My Life (1994) and was assigned artists and repertoire duties for R&B act Jodeci. In 1993, he was fired from Uptown Records and promptly launched his own label, Bad Boy Records shortly after. He also took a then-unknown Uptown signee, the Notorious B.I.G., along with him to the newly established label. In August 1994, the Notorious B.I.G. released the song ""Juicy""; produced by Combs and one of the labels first releases, it ultimately became one of the most successful and influential songs in hip hop music. Combs served as the primary producer for B.I.G.'s debut album and the labels first LP release: Ready to Die (1994), along with its follow up singles — ""Big Poppa"" and ""One More Chance.""
Following B.I.G.'s success during his lifetime, Combs become widely known as his manager and hype man, justifying Combs himself debuting a lead performer with his 1996 single ""Can't Nobody Hold Me Down."" Prior, he made recording appearances on Super Cat's 1993 single ""Dolly My Baby"" and Lil' Kim's 1996 single ""No Time,"" and worked mainly as a record producer or backing vocalist. ""Can't Nobody Hold Me Down""—which also introduced Combs' next protégé Mase—proved to be commercially successful, soon reaching the top spot on the Billboard Hot 100 where it remained for six consecutive weeks. By this time, the Bad Boy label had signed other acts including Faith Evans, Total, the Lox, 112, Black Rob, Craig Mack, and Carl Thomas.
In March 1997, the Notorious B.I.G. was fatally shot by an unknown assailant, prompting Combs to make his second commercial single a tribute song titled ""I'll Be Missing You"", with guest appearances from Bad Boy members Faith Evans and R&B trio 112. The song became the first ever hip hop song to debut at number one on the Billboard Hot 100, peaked worldwide charts in 15 countries, won a Grammy Award for Best Rap Performance by a Duo or Group, and remains one of the best selling singles of all time. The song and its parent album of which it preceded, No Way Out in July 1997, remain Combs' most commercially and critically successful releases.
1997 would also be the year Combs would be the artist with the most weeks spent at number one on the Billboard Hot 100 with 19 weeks, and 26 when including the Combs-produced songs ""Hypnotize"" by B.I.G. and ""Honey"" by Mariah Carey. Additionally, he became the first hip hop artist to replace himself at the number one position on the chart with ""Mo Money Mo Problems"" replacing ""I'll Be Missing You"" the following week. In 1998, Combs would release the singles ""Victory"" (featuring the Notorious B.I.G. and Busta Rhymes) and ""Come with Me"" (featuring Led Zeppelin guitarist Jimmy Page) for the Godzilla soundtrack, while also cultivating acts on the Bad Boy label and producing material for other artists.
Combs released his second and third studio albums Forever (1999) and The Saga Continues... (2001) to relative success, albeit less than his previous work, and generally mixed reviews. By this point and onward, Combs and Bad Boy Records would receive criticism for being seen as the leading exploiter of the dumbing down and over-commercialization of hip hop, and for using too many guest appearances and over-reliance on samples and interpolations of older hits. Critics would often praise the production value and catchiness, but become weary of Combs' public figure and character, citing the remarkably materialistic or ""ego-centric"" nature of his lyrical persona along with an overall lack of originality; commonly alluding to a style over substance argument."
1016,ask any girl,the supremes,1964,pop/rock,"""Baby Love"" is a song by American music group the Supremes from their second studio album, Where Did Our Love Go. It was written and produced by Motown's main production team Holland–Dozier–Holland and was released on September 17, 1964.
""Baby Love"" topped the Billboard pop singles chart in the United States from October 25, 1964, through November 21, 1964, and in the United Kingdom pop singles chart concurrently. Beginning with ""Baby Love"", the Supremes became the first Motown act to have more than one American number-one single, and by the end of the decade, would have more singles hitting the top slot than any other Motown act (or American pop music group) with 12, a record they continue to hold.
It was nominated for the 1965 Grammy Award for Best Rhythm & Blues Recording, losing to Nancy Wilson's ""How Glad I Am"". It is considered one of the most popular songs of the late 20th century, ""Baby Love"" was ranked number 324 on the Rolling Stone list of The 500 Greatest Songs of All Time. It dropped to number 499 on the 2021 update of the list. The BBC ranked ""Baby Love"" at number 23 on The Top 100 Digital Motown Chart, which ranks Motown releases by their all time UK downloads and streams."
1017,semper fi,trace adkins,2011,country/folk,
1018,hold on,tom waits,1999,pop/rock,
1019,small paradise,john mellencamp,1979,pop/rock,
1020,natty dread taking over,culture,1977,country/folk,
1021,puttin' on the ritz,gypsy swing revue,2007,blues/jazz,
1022,brand new funk 2k7 feat. peedi crakk,dj jazzy jeff,2007,hip hop/reggae,
1023,violent love,ted nugent,1980,blues/jazz,
1024,angel,casey donahew,2009,country/folk,
1025,hole in the wall,mel waiters,1999,blues/jazz,
1026,(when your heart's on fire) smoke gets in your eyes,vic damone,1956,blues/jazz,
1027,it's you or no one,chet baker,1954,blues/jazz,
1028,"tighter, tighter",alive 'n kickin',1970,pop/rock,
1029,down came the world,waylon jennings,1966,country/folk,
1030,fame and fortune,elvis presley,1963,pop/rock,
1031,the wanderer,eden ahbez,1960,pop/rock,
1032,somewhere in my broken heart,randy travis,1989,country/folk,"""Somewhere in My Broken Heart"" is a song written by American country music artist Billy Dean and Richard Leigh. Randy Travis first recorded the song on his 1989 album No Holdin' Back. Two years later, it was released as the third single from Dean's album Young Man and reached number 3 on the Billboard Hot Country Singles & Tracks chart.The song earned Billy a Grammy nomination for Best Male Country Vocal Performance, as well as winning the Academy of Country Music Award for Song of the Year."
1033,she's always singing,the dear hunter,2011,blues/jazz,
1034,what did you expect me to do,george strait,1984,country/folk,
1035,the big battle,johnny cash,1963,country/folk,"""The Big Battle"" is a song written and originally recorded by Johnny Cash.The song was released as a single by Columbia Records (Columbia 4-42301, with ""When I've Learned"" on the opposite side) in January, February, or March 1962. The song was later used on the concept album America: A 200-Year Salute in Story and Song."
1036,hate goes on,jelly roll,2017,country/folk,
1037,sweet little mystery,john martyn,1980,pop/rock,"""Sweet Little Mystery"" is a song by Scottish soft rock band Wet Wet Wet. It is the fifth single from the band's debut album Popped In Souled Out (1987), released on Phonogram Inc. Records. The success of the song drove it to number five on the weekly UK Singles Chart the same year as its release. The following year, the song became an international hit, entering the top 20 in Belgium, France, Ireland, Netherlands and New Zealand. Its peak positioning in numerous weekly charts around the globe marked its contributions to the soft-rock genre which dominated the era.""Sweet Little Mystery"" is Wet Wet Wet's second biggest hit globally, with their cover of the Troggs' ""Love Is All Around"" being their most known song. The song endured widespread criticism and the group was later sued for copyright infringement by Van Morrison. The group received further criticism for using the same song title as John Martyn's ""Sweet Little Mystery"" (1987). Both John Martyn and Van Morrison received co-writers' credits for the song.
Five years after the band's split in 1997, Marti Pellow recorded the song solo in his 2002 album Marti Pellow Sings the Hits of Wet Wet Wet & Smile."
1038,paper wings,gillian welch,1996,country/folk,
1039,spoonman,soundgarden,1994,pop/rock,"""Spoonman"" is a song by the American band Soundgarden. Written by the band's frontman, Chris Cornell, ""Spoonman"" was released on February 14, 1994, as the first single from the band's fourth studio album Superunknown (1994). ""Spoonman"" is credited as one of the songs that launched Soundgarden's career into the mainstream. The song peaked at number three on the Billboard Mainstream Rock Tracks chart and number nine on the Modern Rock Tracks chart. A remixed version of the song by Steve Fisk appears on the ""Black Hole Sun"" and ""My Wave"" singles. The song was included on Soundgarden's 1997 greatest hits album A-Sides and the 2010 compilation album Telephantasm.

"
1040,on the lips,jd mcpherson,2017,blues/jazz,
1041,piece of my heart,sammy hagar,1981,pop/rock,
1042,pet politics,silver jews,1996,pop/rock,
1043,wasted,pacific dub,2012,country/folk,
1044,the honeydripper,cab calloway,1974,blues/jazz,
1045,shit bubba,upchurch,2016,country/folk,
1046,breakaway,donna summer,1989,pop/rock,
1047,stormtroopin',ted nugent,1975,blues/jazz,"Sweden Rocks is a 2006 live album by the American hard rock guitarist Ted Nugent, recorded at the Sweden Rock Festival in 2006. It was also released at the same time as a live DVD.  Bassist Barry Sparks would depart Nugent's band shortly after, at which time Greg Smith took over.
This performance was a rare occasion where Nugent used his white Gibson Byrdland, affectionately named the Great White Buffalo, for songs other than GWB."
1048,hood love,"royce da 5'9""",2009,hip hop/reggae,
1049,venus as a boy,björk,1993,pop/rock,"""Venus as a Boy"" is a song by Icelandic musician Björk, released as the second single from her 1993 album, Debut. The song was written by Björk and was produced by Nellee Hooper, who produced the majority of her debut album. The single was released in August 1993 by One Little Indian, a month after the release of the album. The song was inspired by a boy who saw everything from a ""beauty point of view"".""Venus as a Boy"" is an ambient and chill-out song that features a musical ensemble made up of Indian instruments like tablas. The song received mixed reviews from critics, who discussed Björk's musical shift. Despite becoming a chart-topping hit in Björk's native Iceland, the song did not chart well internationally apart from entering the UK Singles Chart top 30.
The accompanying music video was directed by the British music video director Sophie Muller. The clip shows Björk in a kitchen cooking eggs, and was inspired by the singer's favorite book Story of the Eye. Björk performed the song on different TV appearances, including Top of the Pops, and sang it during the course of her Debut Tour.
The song was later chosen by fans to be included in her greatest hits album, Greatest Hits, and also appeared in her Family Tree Box Set which contained a ""greatest hits"" disc on which the songs were chosen by Björk. In 2003, Q Magazine ranked ""Venus as a Boy"" at number 610 in their list of the ""1001 Best Songs Ever""."
