,rag,common_entity,entity1,entity2,entity3,entity4,rag_text
15314,Joshua Debayo,J. Debayo,Cheltenham Town,17,Nigeria,English League Two,
15315,Johan Brattberg,J. Brattberg,Falkenbergs FF,1,Sweden,Swedish Allsvenskan,
15316,Jack Bridge,J. Bridge,Carlisle United,19,England,English League Two,
15317,Sultan Al Sharif,S. Al Sharif,Abha Club,36,Saudi Arabia,Saudi Abdul L. Jameel League,
15318,John Edinson Méndez Bettin,J. Mendez,Jaguares de Córdoba Fútbol Club,8,Colombia,Colombian Liga Postobón,
15319,Jai Ingham,J. Ingham,Brisbane Roar,7,New Zealand,Australian Hyundai A-League,
15320,裴盛金,Bae Seung Jin,Gyeongnam FC,53,Korea Republic,Korean K League 1,
15321,韩镕泽,Han Rongze,Shandong Taishan,20,China PR,Chinese Super League,
15322,Jack Thomas Stobbs,J. Stobbs,Sheffield Wednesday,44,England,English League Championship,
15323,Niklas Sandberg,N. Sandberg,FK Haugesund,10,Norway,Norwegian Eliteserien,
15324,史亮,Shi Liang,Beijing Renhe FC,13,China PR,Chinese Super League,
15325,晋鹏翔,Jin Pengxiang,Guangzhou City,27,China PR,Chinese Super League,
15326,杨博宇,Yang Boyu,Jiangsu FC,6,China PR,Chinese Super League,
15327,孙铂,Sun Bo,Dalian Professional Football Club,29,China PR,Chinese Super League,
15328,张远,Zhang Yuan,Shenzhen FC,11,China PR,Chinese Super League,
15329,Jonathan Rasheed,J. Rasheed,BK Häcken,29,Norway,Swedish Allsvenskan,
15330,Fahad Al Marwani,F. Al Marwani,Abha Club,13,Saudi Arabia,Saudi Abdul L. Jameel League,
15331,杜佳,Du Jia,Tianjin Jinmen Tiger FC,1,China PR,Chinese Super League,
15332,储今朝,Chu Jinzhao,Tianjin Quanjian FC,33,China PR,Chinese Super League,
15333,Esteban Salles,E. Salles,Grenoble Foot 38,30,France,French Ligue 2,
15334,Joshua Edward Doherty,J. Doherty,Crawley Town,3,Northern Ireland,English League Two,
15335,François-Joseph Sollacaro,F. Sollacaro,AC Ajaccio,30,France,French Ligue 2,
15336,Nick Anderton,N. Anderton,Blackpool,3,England,English League One,
15337,Piotr Johansson,P. Johansson,Kalmar FF,7,Sweden,Swedish Allsvenskan,
15338,Bartłomiej Kalinkowski,B. Kalinkowski,ŁKS Łódź,23,Poland,Polish T-Mobile Ekstraklasa,
15339,Michael Jose Barroso Gonçalves,M. Gonçalves,Servette FC,15,Switzerland,Swiss Super League,
15340,Omari Shaquil Jabari Sterling-James,O. Sterling-James,Mansfield Town,24,Saint Kitts and Nevis,English League Two,
15341,Jordan David Lyden,J. Lyden,Swindon Town,19,Australia,English League Two,
15342,高嘉润,Gao Jiarun,Tianjin Jinmen Tiger FC,6,China PR,Chinese Super League,
15343,张卫,Zhang Wei,Shanghai Port FC,2,China PR,Chinese Super League,
15344,张一,Zhang Yi,Shanghai Port FC,18,China PR,Chinese Super League,
15345,张璐,Zhang Lu,Shanghai Shenhua FC,8,China PR,Chinese Super League,
15346,Ahmad Ali Saleem Al Rehaili Al Harbi,A. Al Ruhaili,Al Raed,66,Saudi Arabia,Saudi Abdul L. Jameel League,
15347,Joël Coustrain Jean,J. Coustrain,Cork City,22,Republic of Ireland,Rep. Ireland Airtricity League,
15348,Jack Levi Sutton,L. Sutton,Scunthorpe United,22,England,English League Two,
15349,阿布都外力·阿布来提,A. Ablet,Henan Songshan Longmen FC,13,China PR,Chinese Super League,
15350,Filip Lesniak,F. Lesniak,Silkeborg IF,23,Slovakia,Danish Superliga,
15351,吕海东,Lü Haidong,Shenzhen FC,3,China PR,Chinese Super League,
15352,李超,Li Chao,Wuhan FC,6,China PR,Chinese Super League,
15353,Luke Thomas Armstrong,L. Armstrong,Salford City,7,England,English League Two,
15354,Gustav Berggren,G. Berggren,BK Häcken,17,Sweden,Swedish Allsvenskan,
15355,Matthew Hudson,M. Hudson,Preston North End,28,England,English League Championship,
15356,Amund Wichne,A. Wichne,Viking FK,15,Norway,Norwegian Eliteserien,
15357,Charlie David Kirk,C. Kirk,Crewe Alexandra,10,England,English League Two,
15358,André Södlund,A. Södlund,Odds BK,24,Norway,Norwegian Eliteserien,
15359,Callum Anthony Guy,C. Guy,Blackpool,25,England,English League One,
15360,Ryan Wintle,R. Wintle,Crewe Alexandra,4,England,English League Two,
15361,王鹏,Wang Peng,Shenzhen FC,25,China PR,Chinese Super League,
15362,王秋明,Wang Qiuming,Hebei FC,15,China PR,Chinese Super League,
15363,Alex De John,A. DeJohn,Orlando City Soccer Club,3,United States,USA Major League Soccer,
15364,Jordan Luke Maguire-Drew,J. Maguire-Drew,Leyton Orient,10,England,English League Two,
15365,Niklas Zulciak,N. Zulciak,FC Würzburger Kickers,6,Germany,German 3. Bundesliga,
15366,Dawood Hussain Al Saeed,D. Al Saeed,Al Hazem,1,Saudi Arabia,Saudi Abdul L. Jameel League,
15367,Marcus Klingenberg Mathisen,M. Mathisen,Falkenbergs FF,13,Denmark,Swedish Allsvenskan,
15368,Tim Wiesner,T. Wiesner,Fortuna Düsseldorf,38,Germany,German 1. Bundesliga,
15369,Frederik Lauenborg,F. Lauenborg,Randers FC,14,Denmark,Danish Superliga,
15370,George Mells,G. Mells,Brisbane Roar,14,Australia,Australian Hyundai A-League,
15371,Cameron Lewis James,C. James,Colchester United,17,England,English League Two,
15372,Mathew Antony Stevens,M. Stevens,Forest Green Rovers,9,England,English League Two,
15373,Liam John Edwards,L. Edwards,Bolton Wanderers,26,England,English League One,
15374,Harry Ascroft,H. Ascroft,Finn Harps,30,Australia,Rep. Ireland Airtricity League,
15375,Emmanuel Ebuka Osadebe,E. Osadebe,Macclesfield Town,20,Republic of Ireland,English League Two,
15376,Osama Yousef Al Khalaf,O. Al Khalaf,Ettifaq FC,8,Saudi Arabia,Saudi Abdul L. Jameel League,
15377,Frank Ronstadt,F. Ronstadt,FC Würzburger Kickers,34,Germany,German 3. Bundesliga,
15378,Willem David Daniel Tomlinson,W. Tomlinson,Mansfield Town,16,England,English League Two,
15379,Fraser Matthew Horsfall,F. Horsfall,Macclesfield Town,15,England,English League Two,
15380,Ethan Robson,E. Robson,Sunderland,21,England,English League One,
15381,Francesco Andrea Di Grazia,A. Di Grazia,Pescara,23,Italy,Italian Serie B,
15382,Julian Rekdahl Faye Lund,J. Faye Lund,Mjøndalen IF,12,Norway,Norwegian Eliteserien,
15383,Owen Rhys Evans,O. Evans,Macclesfield Town,1,Wales,English League Two,
15384,Andre Antonio Wright,A. Wright,Bohemian FC,15,England,Rep. Ireland Airtricity League,
15385,Zeus Chandi de la Paz,Z. de la Paz,Oldham Athletic,20,Curacao,English League Two,
15386,Matija Šarkić,M. Šarkić,Livingston FC,30,Montenegro,Scottish Premiership,
15387,Samed Ali Kaya,S. Kaya,Göztepe SK,16,Turkey,Turkish Süper Lig,
15388,Hakeem Ademola Odoffin,H. Odoffin,Livingston FC,14,England,Scottish Premiership,
15389,Ciarán Kelly,C. Kelly,St. Patrick's Athletic,12,Republic of Ireland,Rep. Ireland Airtricity League,
15390,Ismaël Chester Diallo,I. Diallo,AC Ajaccio,3,Côte d'Ivoire,French Ligue 2,
15391,Kellan Sheene Gordon,K. Gordon,Mansfield Town,20,England,English League Two,
15392,Luke Garry Dreher,L. Dreher,Crystal Palace,28,England,English Premier League,
15393,Ciarán Coll,C. Coll,Derry City,3,Republic of Ireland,Rep. Ireland Airtricity League,
15394,William John Mannion,W. Mannion,Hull City,12,England,English League Championship,
15395,김경재 金径栽,Kim Gyeong Jae,Sangju Sangmu FC,23,Korea Republic,Korean K League 1,
15396,宋文杰,Song Wenjie,Shandong Taishan,19,China PR,Chinese Super League,
15397,Robbert de Vos,R. de Vos,FC Emmen,32,Netherlands,Holland Eredivisie,
15398,Yassin Enzo Fortune,Y. Fortune,FC Sion,25,France,Swiss Super League,
15399,杉森 考起,K. Sugimori,Nagoya Grampus,26,Japan,Japanese J. League Division 1,
15400,大南 拓磨,T. Ominami,Júbilo Iwata,25,Japan,Japanese J. League Division 1,
15401,Ruben Sammutt,R. Sammut,Sunderland,44,Scotland,English League One,
15402,Nicolás Federico Femia,N. Femia,Club Atlético Central Córdoba,36,Argentina,Argentina Primera División,
15403,Abdulrahman Mutlaq Al-Dawsari,A. Al Dawsari,Al Nassr,39,Saudi Arabia,Saudi Abdul L. Jameel League,
15404,Reece Cole,R. Cole,Brentford,35,England,English League Championship,
15405,In-Pyo Oh,Oh In-Pyo,LASK Linz,22,Korea Republic,Austrian Football Bundesliga,
15406,桂宏,Gui Hong,Guangzhou City,9,China PR,Chinese Super League,
15407,Gabriel Agustín Mazuela Cruz,G. Mazuela,Universidad de Chile,28,Chile,Chilian Campeonato Nacional,
15408,Jordi Osei-Tutu,J. Osei-Tutu,VfL Bochum 1848,6,England,German 2. Bundesliga,
15409,Julian Kristoffersen,J. Kristoffersen,Hobro IK,19,Norway,Danish Superliga,
15410,Patryk Szysz,P. Szysz,Zagłębie Lubin,17,Poland,Polish T-Mobile Ekstraklasa,
15411,Kye Francis Rowles,K. Rowles,Central Coast Mariners,15,Australia,Australian Hyundai A-League,
15412,Connor O'Toole,C. O'Toole,Brisbane Roar,24,Australia,Australian Hyundai A-League,
15413,Liam Cullen,L. Cullen,Swansea City,32,Wales,English League Championship,
15414,Nathan Sheron,N. Sheron,Fleetwood Town,29,England,English League One,
15415,Serigne Mor Mbaye,S. Mbaye,Kristiansund BK,30,Senegal,Norwegian Eliteserien,
15416,Johan Hove,J. Hove,Strømsgodset IF,8,Norway,Norwegian Eliteserien,
15417,伊藤 宏樹,H. Ito,Nagoya Grampus,15,Japan,Japanese J. League Division 1,
15418,정승원 郑世元,Jeong Seung Won,Daegu FC,18,Korea Republic,Korean K League 1,
15419,Markus Uusitalo,M. Uusitalo,HJK Helsinki,1,Finland,Rest of World,
15420,박병현 Byung Hyun Park,Park Byung Hyun,Daegu FC,66,Korea Republic,Korean K League 1,
15421,Mateo Puerta Peláez,M. Puerta,Deportivo Cali,24,Colombia,Colombian Liga Postobón,
15422,Ashley Kevin Nadesan,A. Nadesan,Crawley Town,10,England,English League Two,
15423,Andreas Albers Nielsen,A. Albers,SSV Jahn Regensburg,19,Denmark,German 2. Bundesliga,
15424,Emil Bohinen,E. Bohinen,Stabæk Fotball,23,Norway,Norwegian Eliteserien,
15425,Daniel Rojano Gómez,D. Rojano,Deportivo Pasto,6,Colombia,Colombian Liga Postobón,
15426,Luke Southwood,L. Southwood,Hamilton Academical FC,31,England,Scottish Premiership,
15427,Aldair Alejandro Quintana Rojas,A. Quintana,Atlético Nacional,1,Colombia,Colombian Liga Postobón,
15428,Ricardo Israel Peña Franco,R. Peña,Gallos Blancos de Querétaro,15,Mexico,Mexican Liga MX,
15429,Ahmed Al Shamrani,A. Al Shamrani,Al Hazem,70,Saudi Arabia,Saudi Abdul L. Jameel League,
15430,Tareq Abdullah,T. Abdullah,Al Ittihad,3,Saudi Arabia,Saudi Abdul L. Jameel League,
15431,Connor Matthew Hall,C. Hall,Bolton Wanderers,24,England,English League One,
15432,Marin Šverko,M. Šverko,1. FSV Mainz 05,44,Croatia,German 1. Bundesliga,
15433,Aaron Paul Morley,A. Morley,Rochdale,28,England,English League One,
15434,Paul Gartler,P. Gartler,SK Rapid Wien,25,Austria,Austrian Football Bundesliga,
15435,Giulio Fasolo,G. Fasolo,Cittadella,37,Italy,Italian Serie B,
15436,Mahmoud Khair Mohammed Dhadha,M. Eid,Kalmar FF,18,Palestine,Swedish Allsvenskan,
15437,Magnus Retsius Grødem,M. Grødem,Vålerenga Fotball,29,Norway,Norwegian Eliteserien,
15438,Jonas Behounek,J. Behounek,SG Sonnenhof Großaspach,21,Germany,German 3. Bundesliga,
15439,Abdulaziz Hassan Al-Aryani,A. Al Aryani,Al Ittihad,26,Saudi Arabia,Saudi Abdul L. Jameel League,
15440,Cameron Bradley John,C. John,Doncaster Rovers,32,England,English League One,
15441,James Dominic Brown,J. Brown,Millwall,17,England,English League Championship,
15442,Juan Cruz Bolado,J. Bolado,Godoy Cruz,25,Argentina,Argentina Primera División,
15443,Ronaldo Ignacio Abarca Toloza,R. Abarca,Club de Deportes Cobresal,25,Chile,Chilian Campeonato Nacional,
15444,Thomas Holland,T. Holland,Waterford FC,10,Republic of Ireland,Rep. Ireland Airtricity League,
15445,Asier Santalla Marcaida,Asier,CD Lugo,32,Spain,Spanish Segunda División,
15446,Aaron Nigel Bolger,A. Bolger,Cardiff City,43,Republic of Ireland,English League Championship,
15447,Edwin Andrés Torres Palacio,E. Torres,Alianza Petrolera,29,Colombia,Colombian Liga Postobón,
15448,Ryan George Henson Loft,R. Loft,Carlisle United,25,England,English League Two,
15449,Erlend Ernst Sivertsen,E. Sivertsen,Kristiansund BK,15,Norway,Norwegian Eliteserien,
15450,Kasper Lunding Jakobsen,K. Lunding,Aarhus GF,35,Denmark,Danish Superliga,
15451,Diego Altamirano Carbonell,Altamirano,Real Betis Balompié,29,Spain,Spain Primera Division,
15452,Matías Hernán Moya,M. Moya,Club Atlético Banfield,27,Argentina,Argentina Primera División,
15453,Branco Antonio Provoste Ovalle,B. Provoste,Colo-Colo,27,Chile,Chilian Campeonato Nacional,
15454,Nicolás Eduardo Baeza Martínez,N. Baeza,CD Huachipato,23,Chile,Chilian Campeonato Nacional,
15455,Davide-Jerome Itter,D. Itter,VfL Wolfsburg,41,Germany,German 1. Bundesliga,
15456,Tom Brewitt,T. Brewitt,Morecambe,14,England,English League Two,
15457,Chris Odoi-Atsem,C. Odoi-Atsem,D.C. United,3,United States,USA Major League Soccer,
15458,Abdel Hakim Abdallah,A. Abdallah,Grenoble Foot 38,25,Comoros,French Ligue 2,
15459,Ben George Liddle,B. Liddle,Middlesbrough,37,England,English League Championship,
15460,Clarke Oduor,C. Oduor,Barnsley,37,Kenya,English League Championship,
15461,西部 洋平,Y. Nishibe,Shimizu S-Pulse,1,Japan,Japanese J. League Division 1,
15462,庄司 朋乃也,H. Shoji,Oita Trinita,39,Japan,Japanese J. League Division 1,
15463,Nya Jerome Kirby,N. Kirby,Crystal Palace,43,England,English Premier League,
15464,Juan Pablo Otálvaro Bedoya,J. Otálvaro,Rionegro Águilas,74,Colombia,Colombian Liga Postobón,
15465,Cristian Camilo Tovar Angola,C. Tovar,Deportivo Pasto,36,Colombia,Colombian Liga Postobón,
15466,道渕 諒平,R. Michibuchi,Vegalta Sendai,18,Japan,Japanese J. League Division 1,
15467,Saad Al Khayri,S. Al Khayri,Ettifaq FC,50,Saudi Arabia,Saudi Abdul L. Jameel League,
15468,Carlos Mario Polo Gómez,C. Polo,Club Independiente Santa Fe,16,Colombia,Colombian Liga Postobón,
15469,Samuel Bone,S. Bone,Waterford FC,20,England,Rep. Ireland Airtricity League,
15470,Boris Mathis,B. Mathis,Rodez Aveyron Football,23,France,French Ligue 2,
15471,Kristoffer Velde,K. Velde,FK Haugesund,33,Norway,Norwegian Eliteserien,
15472,주현호 朱贤虎,Joo Hyun Ho,Suwon Samsung Bluewings,70,Korea Republic,Korean K League 1,
15473,Ikenna Anthony Ikedi,A. Ikedi,FK Haugesund,35,Nigeria,Norwegian Eliteserien,
15474,Mishari Al Qahtani,M. Al Qahtani,Al Wehda,7,Saudi Arabia,Saudi Abdul L. Jameel League,
15475,髙江 岭臣,R. Takae,Gamba Osaka,29,Japan,Japanese J. League Division 1,
15476,하승운 Seung Un Ha,Ha Seung Un,Pohang Steelers,17,Korea Republic,Korean K League 1,
15477,Gustav Ølsted Marcussen,G. Marcussen,Lyngby BK,8,Denmark,Danish Superliga,
15478,Javier Adolfo Altamirano Altamirano,J. Altamirano,CD Huachipato,20,Chile,Chilian Campeonato Nacional,
15479,Jean Carlos Pestaña Hernández,J. Pestaña,Atlético Huila,16,Colombia,Colombian Liga Postobón,
15480,James Pantemis,J. Pantemis,Club de Foot Montréal,41,Canada,USA Major League Soccer,
15481,Juan Guillermo Córdova Torres,J. Córdova,CD Huachipato,15,Canada,Chilian Campeonato Nacional,
15482,Abdul Manaf Nurudeen,A. Nurudeen,KAS Eupen,33,Ghana,Belgian Jupiler Pro League,
15483,Braian Alexis Volpini,B. Volpini,Livorno,67,Argentina,Italian Serie B,
15484,Logan Ndenbe,L. Ndenbe,KV Oostende,22,Belgium,Belgian Jupiler Pro League,
15485,Max Melbourne,M. Melbourne,West Bromwich Albion,30,England,English League Championship,
15486,Madih Talal,M. Talal,Amiens SC,22,France,French Ligue 1,
15487,Abdallah Aberkane,A. Aberkane,Sparta Rotterdam,13,Netherlands,Holland Eredivisie,
15488,Justin Leonard Löwe,J. Löwe,SG Dynamo Dresden,34,Germany,German 2. Bundesliga,
15489,Mohamed Amine Talal,A. Talal,US Orléans Loiret Football,29,Morocco,French Ligue 2,
15490,Semih Beyaz,S. Beyaz,Yeni Malatyaspor,17,Turkey,Turkish Süper Lig,
15491,Clément Libertiaux,C. Libertiaux,Royal Excel Mouscron,16,Belgium,Belgian Jupiler Pro League,
15492,Tyler Cordner,T. Cordner,AFC Bournemouth,35,England,English Premier League,
15493,Victor Sylvestre Mpindi Ekani,V. Ekani,SønderjyskE,29,Cameroon,Danish Superliga,
15494,宋龙,Song Long,Shandong Taishan,39,China PR,Chinese Super League,
15495,Ákos Kecskés,Á. Kecskés,FC Lugano,4,Hungary,Swiss Super League,
15496,Jader Andrés Valencia Mena,J. Valencia,Racing Club de Lens,31,Colombia,French Ligue 2,
15497,Terence Owen Vancooten,T. Vancooten,Stevenage,15,Guyana,English League Two,
15498,Mert Yılmaz,M. Yılmaz,FC Bayern München II,2,Germany,German 3. Bundesliga,
15499,Michael John Lema,M. Lema,SK Sturm Graz,38,Austria,Austrian Football Bundesliga,
15500,刘洋,Liu Yang,Shandong Taishan,11,China PR,Chinese Super League,
15501,Mohammed Abdullah Al-Majhad,M. Al Majhad,Al Fateh,29,Saudi Arabia,Saudi Abdul L. Jameel League,
15502,Moses Ebiye,M. Ebiye,Lillestrøm SK,18,Nigeria,Norwegian Eliteserien,
15503,Ellis Darren Chapman,E. Chapman,Lincoln City,12,England,English League One,
15504,Daniel Adshead,D. Adshead,Norwich City,46,England,English Premier League,
15505,Bram Verbong,B. Verbong,VVV-Venlo,22,Netherlands,Holland Eredivisie,
15506,Aynsley Pears,A. Pears,Middlesbrough,42,England,English League Championship,
15507,Alan Daniel Sosa,A. Sosa,Unión de Santa Fe,32,Argentina,Argentina Primera División,
15508,Jan Hoekstra,J. Hoekstra,FC Groningen,16,Netherlands,Holland Eredivisie,
15509,Edgar Joel Elizalde Ferreira,E. Elizalde,Pescara,15,Uruguay,Italian Serie B,
15510,Şahverdi Çetin,Ş. Çetin,Eintracht Frankfurt,30,Germany,German 1. Bundesliga,
15511,Rollin Menayese,R. Menayese,Bristol Rovers,24,Wales,English League One,
15512,Caoimhin Kelleher,C. Kelleher,Liverpool,62,Republic of Ireland,English Premier League,
15513,Francis Jno-Baptiste,F. Baptiste,Östersunds FK,9,England,Swedish Allsvenskan,
15514,Mohammed Al Shahrani,M. Al Shahrani,Damac FC,17,Saudi Arabia,Saudi Abdul L. Jameel League,
15515,Jaden Wavey Brown,J. Brown,Huddersfield Town,28,England,English League Championship,
15516,Brady Canfield Scott,B. Scott,1. FC Köln,31,United States,German 1. Bundesliga,
15517,Théo Sainte-Luce,T. Sainte-Luce,Nîmes Olympique,3,France,French Ligue 1,
15518,Muhammet Sait Özvardar,M. Özvardar,Demir Grup Sivasspor,19,Turkey,Turkish Süper Lig,
15519,Jordan Stevens,J. Stevens,Leeds United,48,England,English League Championship,
15520,杨立瑜,Yang Liyu,Guangzhou FC,17,China PR,Chinese Super League,
15521,Raúl Sánchez Sánchez,Raúl Sánchez,CD Leganés,32,Spain,Spain Primera Division,
15522,Kenjok Athiu,K. Athiu,Melbourne Victory,7,South Sudan,Australian Hyundai A-League,
15523,Jaakko Oksanen,J. Oksanen,Brentford,34,Finland,English League Championship,
15524,Awn Mutlaq Al Slaluli,A. Al Saluli,Al Fayha,23,Saudi Arabia,Saudi Abdul L. Jameel League,
15525,Sondre Sørløkk,S. Sørløkk,Ranheim Fotball,17,Norway,Norwegian Eliteserien,
15526,Sebastian Bergier,S. Bergier,Śląsk Wrocław,32,Poland,Polish T-Mobile Ekstraklasa,
15527,Regan Slater,R. Slater,Scunthorpe United,27,England,English League Two,
15528,Simon Amin,S. Amin,Örebro SK,21,Syria,Swedish Allsvenskan,
15529,Dominik Martinović,D. Martinović,SG Sonnenhof Großaspach,22,Croatia,German 3. Bundesliga,
15530,荻原 拓也,T. Ogiwara,Urawa Red Diamonds,26,Japan,Japanese J. League Division 1,
15531,Matthew Virtue-Thick,M. Virtue,Blackpool,17,England,English League One,
15532,脇坂 泰斗,Y. Wakizaka,Kawasaki Frontale,28,Japan,Japanese J. League Division 1,
15533,유지하 Ji Ha Yoo,Yoo Ji Ha,Pohang Steelers,25,Korea Republic,Korean K League 1,
15534,Xavier Casmier Amaechi,X. Amaechi,Hamburger SV,17,England,German 2. Bundesliga,
15535,Diego Alejandro Sánchez Rodríguez,D. Sánchez,Cúcuta Deportivo,21,Colombia,Colombian Liga Postobón,
15536,Angus Thurgate,A. Thurgate,Newcastle Jets,32,Australia,Australian Hyundai A-League,
15537,Gastón Nicolás Verón,G. Verón,Argentinos Juniors,23,Argentina,Argentina Primera División,
15538,Maxime Pattier,M. Pattier,FC Lorient,40,France,French Ligue 2,
15539,Vincenzo Millico,V. Millico,Torino F.C.,22,Italy,Italian Serie A,
15540,Johan Camilo Caballero Cristancho,J. Caballero,Atlético Bucaramanga,23,Colombia,Colombian Liga Postobón,
15541,Wessam Abou Ali,W. Ali,Aalborg BK,30,Denmark,Danish Superliga,
15542,秋山 陽介,Y. Akiyama,Júbilo Iwata,29,Japan,Japanese J. League Division 1,
15543,George Oluwaseun Bello,G. Bello,Atlanta United,21,United States,USA Major League Soccer,
15544,Cory Galvin,C. Galvin,Waterford FC,16,Republic of Ireland,Rep. Ireland Airtricity League,
15545,Daniel Kelly,D. Kelly,Dundalk FC,27,Republic of Ireland,Rep. Ireland Airtricity League,
15546,Benjamin Mines,B. Mines,New York Red Bulls,17,United States,USA Major League Soccer,
15547,Niki Jackson,N. Jackson,Colorado Rapids,12,United States,USA Major League Soccer,
15548,Kristoffer Ødemarksbakken,K. Ødemarksbakken,Lillestrøm SK,17,Norway,Norwegian Eliteserien,
15549,Rolando Lautaro Chávez,L. Chávez,Gimnasia y Esgrima La Plata,39,Argentina,Argentina Primera División,
15550,Simon Power,S. Power,Ross County FC,22,Republic of Ireland,Scottish Premiership,
15551,Alfonso González Martínez,Alfon,Albacete BP,30,Spain,Spanish Segunda División,
15552,Daniel Grant,D. Grant,Bohemian FC,12,Republic of Ireland,Rep. Ireland Airtricity League,
